id,nama,deskripsi,aktif,created_at,updated_at
9ffc5eb9-6795-4035-aad5-7220f77df5f7,SKPT,-,t,2026-05-12 10:56:24.47214+00,2026-05-12 10:56:24.47214+00
016a920d-8f04-4a46-8320-7b1fafed18e2,PERPANJANGAN SARUSUN,,t,2026-06-11 02:01:47.321054+00,2026-06-11 02:01:47.321054+00
140e6cab-9fe4-4e4b-99d0-db061db96b3d,PERPANJANGAN HGB,,t,2026-06-11 02:02:50.83168+00,2026-06-11 02:02:50.83168+00
f148d164-2a2a-4856-bbde-7fd12c34fe47,GANTI NAMA PEMEGANG HT,-,t,2026-04-23 06:41:05.253079+00,2026-06-11 02:03:52.87844+00
b02a9316-3f1f-4ed6-8d5c-7e71eb4b2773,HAK TANGGUNGAN,-,t,2026-05-12 10:56:38.806646+00,2026-06-11 02:04:10.125686+00
22040420-8fef-4290-9248-b2ec71432d3b,MERGER HAK TANGGUNGAN,,t,2026-04-23 06:41:05.253079+00,2026-06-11 02:07:01.919999+00
388a0ff4-5c2d-4595-a5c2-81ab954e4b19,GANTI BLANKO / RUSAK,,t,2026-06-11 02:01:29.329647+00,2026-06-11 02:08:22.08239+00
47c766f4-3746-4e32-bc40-baddb25ad2e6,GANTI BLANKO / HILANG,,t,2026-06-11 02:08:54.066047+00,2026-06-11 02:08:54.066047+00
19aa8ad1-58d2-4017-99f4-a08d7bef25fd,BALAS SURAT,,t,2026-06-11 02:09:11.245814+00,2026-06-11 02:09:11.245814+00
460fe918-c1ed-484a-b748-12dfac797fc7,PENDAFTARAN SK,-,t,2026-05-12 10:55:59.174251+00,2026-06-11 02:10:47.787601+00
41ecfd56-10bb-49b5-a439-96fdfa549215,PENGECEKAN SERTIFIKAT,-,t,2026-04-23 06:41:05.253079+00,2026-06-11 02:11:05.830622+00
95a14ec2-e453-471c-a6b0-65cb9ae7a979,PERALIHAN HAK JUAL BELI,-,t,2026-04-23 06:41:05.253079+00,2026-06-11 02:11:28.904947+00
e2b9e670-94d9-40dd-a09f-b07ad0894bf4,PERUBAHAN HAK,-,t,2026-04-30 03:59:17.555874+00,2026-06-11 02:11:44.687997+00
6f859a17-2f40-4df3-ae27-0cb7a81fc8ce,ROYA,-,t,2026-04-23 06:41:05.253079+00,2026-06-11 02:11:55.919482+00
29e71764-38f7-4029-aa73-c60b8aad03c7,VALIDASI / ALIH MEDIA,-,t,2026-05-12 10:57:58.160654+00,2026-06-11 02:12:15.690331+00
b5a73008-940c-4278-adb4-ad817fc8d90f,CASIEE,-,t,2026-05-12 10:57:27.868868+00,2026-06-11 02:12:30.226533+00
3c4434e3-2da0-49d6-917d-63a95d57e8a1,PENGHAPUSAN BPHTB,,t,2026-06-11 02:17:14.131804+00,2026-06-11 02:17:14.131804+00
05f052da-b226-4f27-8b91-5b82b65070f3,PENELITIAN,,t,2026-06-11 02:19:14.189383+00,2026-06-11 02:19:14.189383+00
51bf4847-9688-4c45-9f71-037a820951bc,GANTI DESA,,t,2026-06-11 02:22:58.368232+00,2026-06-11 02:22:58.368232+00
9ffe419f-ac49-49e5-99e5-ea854924490b,PENURUNAN,,t,2026-06-11 02:23:14.875394+00,2026-06-11 02:23:14.875394+00
